Designator,Footprint,Quantity,Value,LCSC Part #
D1,LED_D3.0mm,1,WHITE,C210322
J1,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1,JST SH,C160403
R1,0603,1,100Ω,C22775
