Designator,Footprint,Quantity,Value,LCSC Part #
J1,JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Vertical,1,Conn_01x03_Pin,
J2,button-holder1,1,ButtonHolder,
