Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",1210,3,10µF,C380537
"C4, C5",0603,2,0.1µF,C77055
"C6, C7",1210,2,47µF,C77101
C8,0603,1,150pF,C527999
J1,JST_XH_S3B-XH-A-1_1x03_P2.50mm_Horizontal,1,Conn_01x03,C163036
J2,JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal,1,Conn_01x02,C163035
L1,L_Sunlord_MWSA0603S,1,10µH,C132141
R1,0603,1,240Ω 1%,C23350
R2,0603,1,13.3kΩ 1%,C25952
R3,0603,1,100kΩ 1%,C25803
U1,SOT-23-6,1,TPS54302,C311983
