Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,10uF,C96446
C3,CP_Elec_6.3x7.7,1,100uF,C179802
J3,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,M5Dial Power,
J4,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,JST XH SCA,
J5,CONN_110990030_SEE,1,Grove I2C,
J6,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,JST XH SCL,
"R1, R2",0603,2,2K2,C4190
TP1,TestPoint_Pad_1.5x1.5mm,1,3V3,
TP2,TestPoint_Pad_1.5x1.5mm,1,GND,
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,C5120765
