Designator,Footprint,Quantity,Value,LCSC Part #
J2,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1,JST SH,C160403
R1,1210,1,68R0,C2930448
"R2, R3, R4",0603,3,150Ω,C2907103
