Designator,Mid X,Mid Y,Rotation,Layer
C935,189.075,-92.5,180.0,top
C936,194.925,-92.5,180.0,top
C937,198.975,-92.5,180.0,top
C938,196.3,-110.45,0.0,bottom
C939,195.1,-103.15,0.0,bottom
D101,211.4,-153.9,0.0,bottom
D201,224.3,-149.0,270.0,bottom
D202,235.6,-150.8,270.0,bottom
D203,235.6,-155.3,90.0,bottom
D204,258.2,-169.1,270.0,top
D205,244.6,-169.1,270.0,top
D301,270.7,-170.4,180.0,top
D302,277.6,-170.4,180.0,top
D401,231.585,-133.9,0.0,top
D402,231.585,-130.0,0.0,top
D403,231.585,-126.0625,0.0,top
D404,282.6,-141.9,270.0,top
D405,282.6,-143.6,90.0,top
D501,177.15,-136.725,180.0,bottom
D502,172.7,-120.4,180.0,bottom
D503,179.85,-136.725,0.0,bottom
D504,276.44,-123.034,180.0,bottom
D505,216.5,-139.3,270.0,top
D506,177.575,-103.2,270.0,bottom
D507,276.39,-121.034,180.0,bottom
D508,216.5,-136.7,270.0,top
D509,177.575,-105.6,270.0,bottom
D510,284.39,-119.434,0.0,bottom
D511,216.5,-134.2,270.0,top
D512,177.575,-108.1,270.0,bottom
D513,276.39,-118.934,180.0,bottom
D514,216.5,-131.6,270.0,top
D515,284.39,-117.934,0.0,bottom
D516,282.8,-100.95,270.0,bottom
D517,282.8,-98.45,270.0,bottom
D518,282.8,-95.85,270.0,bottom
D519,278.035,-84.0,90.0,bottom
F101,192.5,-161.2,0.0,top
FB901,185.8,-95.7,90.0,top
FB902,188.3,-95.7,90.0,top
FB903,195.7,-95.7,90.0,top
FB904,198.2,-95.7,90.0,top
FID101,172.0,-171.0,0.0,top
FID102,172.0,-89.0,0.0,top
FID103,288.0,-89.0,0.0,top
FID104,172.0,-171.0,0.0,bottom
FID105,172.0,-89.0,0.0,bottom
FID106,288.0,-89.0,0.0,bottom
J103,176.775,-162.5625,180.0,top
J201,261.325,-174.625,270.0,top
J202,254.525,-174.625,270.0,top
J203,247.725,-174.625,270.0,top
J204,240.925,-174.625,270.0,top
J301,269.625,-174.625,270.0,top
J302,276.425,-174.625,270.0,top
J401,287.9,-134.6,90.0,top
J403,286.7,-144.0,90.0,top
J501,177.975,-122.9625,180.0,top
J502,177.975,-116.2125,180.0,top
J504,175.475,-131.725,180.0,top
J505,173.6875,-100.325,270.0,top
J509,286.6875,-100.675,90.0,top
L201,262.3,-151.6,270.0,top
L301,281.6,-167.7,90.0,top
L302,282.9,-158.9,180.0,top
Q201,251.9,-142.6,180.0,top
Q202,251.4,-148.6,0.0,top
Q203,251.9,-160.6,180.0,top
Q204,251.4,-154.6,0.0,top
Q501,186.2,-133.3,0.0,bottom
Q502,186.21,-129.75,0.0,bottom
Q601,212.3,-95.725,270.0,top
Q602,218.3,-95.71,90.0,top
Q603,230.3,-95.725,270.0,top
Q604,224.3,-95.71,90.0,top
Q701,236.3,-95.725,270.0,top
Q702,242.3,-95.81,90.0,top
Q703,254.3,-95.725,270.0,top
Q704,248.3,-95.81,90.0,top
Q801,260.3,-95.725,270.0,top
Q802,266.3,-95.81,90.0,top
Q803,278.3,-95.725,270.0,top
Q804,272.3,-95.81,90.0,top
Q901,194.6,-134.1,270.0,top
Q902,183.9,-110.8,180.0,top
R101,175.05,-167.6,0.0,top
R201,224.0,-147.5,0.0,top
R202,224.0,-149.0,180.0,top
R203,224.0,-158.1,0.0,top
R204,224.0,-153.5,0.0,bottom
R205,224.0,-155.0,0.0,bottom
R206,238.5,-157.7,0.0,top
R207,238.5,-159.3,0.0,top
R208,224.0,-152.0,180.0,bottom
R209,227.6,-148.3,270.0,bottom
R210,242.9,-152.0,180.0,top
R211,224.75,-157.3,90.0,bottom
R212,223.25,-157.3,270.0,bottom
R213,259.2,-165.4,90.0,top
R214,252.2,-165.4,90.0,top
R215,245.6,-165.3,90.0,top
R216,238.6,-165.3,90.0,top
R301,287.7,-166.8,270.0,bottom
R302,286.975001,-169.05,0.0,bottom
R303,275.0,-147.025,90.0,bottom
R304,276.5,-147.025,270.0,bottom
R305,272.575001,-146.225,0.0,bottom
R401,265.0,-124.4,225.0,bottom
R402,281.535,-131.495,270.0,top
R403,266.2,-123.2,45.0,bottom
R404,237.8,-127.3125,270.0,bottom
R405,243.284,-133.7275,0.0,bottom
R406,278.635,-140.595,180.0,top
R407,243.284,-132.1275,180.0,bottom
R408,263.3,-132.1875,0.0,top
R409,263.3,-133.7875,0.0,top
R410,260.8,-136.1875,270.0,top
R412,268.03,-135.49,180.0,bottom
R413,199.6,-148.1,180.0,bottom
R414,199.6,-149.7,180.0,bottom
R415,184.0,-136.0,0.0,bottom
R416,183.995,-137.59,0.0,bottom
R417,203.675,-149.7,0.0,bottom
R418,264.93,-137.09,180.0,bottom
R419,268.03,-138.69,180.0,bottom
R420,210.66,-148.9,270.0,bottom
R421,203.675,-148.2,0.0,bottom
R422,208.11,-148.89,270.0,bottom
R423,178.99,-102.71,270.0,bottom
R424,179.09,-106.8,90.0,bottom
R425,180.6,-108.45,270.0,bottom
R426,228.62,-118.06,90.0,bottom
R427,227.1,-118.06,90.0,bottom
R428,207.01,-108.44,180.0,bottom
R501,189.1,-133.1,270.0,bottom
R502,189.1,-130.0,90.0,bottom
R503,182.11,-133.9,0.0,bottom
R504,182.1,-129.08,0.0,bottom
R505,182.1,-132.32,180.0,bottom
R506,182.1,-130.7,180.0,bottom
R507,275.86,-126.034,0.0,bottom
R601,211.5125,-117.55,180.0,top
R602,211.5125,-119.05,0.0,top
R604,217.45,-118.3,270.0,top
R605,221.3,-104.1675,270.0,top
R701,235.5125,-117.6,180.0,top
R702,235.5125,-119.1,0.0,top
R704,241.5,-118.35,270.0,top
R705,245.3,-104.2675,270.0,top
