Designator,Footprint,Quantity,Value,LCSC Part #
J1,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,Potentiometer,
J2,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,Power In Signal Out,
"J3, J4",JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,2,Conn_01x04_Pin,
"R1, R2, R3",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,3,10K,
U1,MODULE_ADAFRUIT_QT_PY,1,ADAFRUIT_QT_PY,
U2,NeoPixel_Breadboard,1,~,
