Designator,Footprint,Quantity,Value,LCSC Part #
D1,LED_PLCC_2835_Handsoldering,1,WHITE,C210322
J1,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,1,JST XH,C157925
J2,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1,JST SH,C160403
R1,1210,1,36R0,C5121553
"R2, R3, R4",0603,3,100Ω,C22775
