C1:1
C2:1
C3:1
H1:1
H2:1
J1:1
J2:1
J3:1
J4:1
J5:1
J6:1
J7:1
J8:1
Q1:1
Q2:1
Q3:1
R1:1
R10:1
R11:1
R12:1
R13:1
R14:1
R2:1
R3:1
R7:1
R8:1
R9:1
